n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,170.00502014160156,170.00502014160156,0.0,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,313.77069091796875,313.77069091796875,0.0,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,744.348388671875,744.348388671875,0.0,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,888.9136962890625,888.9136962890625,0.0,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,1321.8580322265625,1321.8580322265625,0.0,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_mean,northCueImage.started_raw,northCueImage.started_std,northCueImage.stopped_raw,order
1.0,1466.7611083984375,1466.7611083984375,0.0,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
﻿n,northCueImage.started_raw,northCueImage.stopped_raw,order
1.0,,,0.0

extraInfo
session,001
participant,6
date,2019_Jul_18_1712
expName,viewing
psychopyVersion,3.1.2
frameRate,60.211924674363345
